Datum;Bolag;Region;Antal annonser;Nya 14 dagar
2026-05-20;Manpower;Blekinge län;1;1
2026-05-20;Manpower;Dalarnas län;3;3
2026-05-20;Manpower;Gävleborgs län;1;1
2026-05-20;Manpower;Jönköpings län;1;0
2026-05-20;Manpower;Kronobergs län;1;0
2026-05-20;Manpower;Norrbottens län;1;0
2026-05-20;Manpower;Skåne län;3;2
2026-05-20;Manpower;Stockholms län;7;4
2026-05-20;Manpower;Södermanlands län;1;0
2026-05-20;Manpower;Uppsala län;1;0
2026-05-20;Manpower;Värmlands län;3;2
2026-05-20;Manpower;Västernorrlands län;4;2
2026-05-20;Manpower;Västmanlands län;3;2
2026-05-20;Manpower;Västra Götalands län;19;6
2026-05-20;Manpower;Östergötlands län;2;1
2026-05-20;Lernia;Blekinge län;5;2
2026-05-20;Lernia;Dalarnas län;2;2
2026-05-20;Lernia;Gävleborgs län;6;4
2026-05-20;Lernia;Hallands län;38;12
2026-05-20;Lernia;Jämtlands län;2;1
2026-05-20;Lernia;Jönköpings län;13;7
2026-05-20;Lernia;Kalmar län;10;5
2026-05-20;Lernia;Kronobergs län;4;3
2026-05-20;Lernia;Norrbottens län;7;3
2026-05-20;Lernia;Skåne län;16;10
2026-05-20;Lernia;Stockholms län;5;2
2026-05-20;Lernia;Södermanlands län;5;2
2026-05-20;Lernia;Uppsala län;7;2
2026-05-20;Lernia;Västerbottens län;7;2
2026-05-20;Lernia;Västmanlands län;2;2
2026-05-20;Lernia;Västra Götalands län;44;21
2026-05-20;Lernia;Örebro län;2;1
2026-05-20;Lernia;Östergötlands län;7;3
2026-05-20;Adecco;Blekinge län;1;0
2026-05-20;Adecco;Dalarnas län;4;1
2026-05-20;Adecco;Hallands län;8;5
2026-05-20;Adecco;Jönköpings län;11;7
2026-05-20;Adecco;Kalmar län;2;1
2026-05-20;Adecco;Kronobergs län;11;11
2026-05-20;Adecco;Norrbottens län;15;9
2026-05-20;Adecco;Skåne län;24;14
2026-05-20;Adecco;Stockholms län;25;22
2026-05-20;Adecco;Södermanlands län;1;0
2026-05-20;Adecco;Uppsala län;7;6
2026-05-20;Adecco;Värmlands län;10;6
2026-05-20;Adecco;Västerbottens län;4;0
2026-05-20;Adecco;Västernorrlands län;2;2
2026-05-20;Adecco;Västmanlands län;8;5
2026-05-20;Adecco;Västra Götalands län;21;8
2026-05-20;Adecco;Örebro län;2;2
2026-05-20;Adecco;Östergötlands län;11;8
2026-05-20;Perido;Dalarnas län;2;2
2026-05-20;Perido;Jönköpings län;1;0
2026-05-20;Perido;Kalmar län;1;1
2026-05-20;Perido;Stockholms län;9;7
2026-05-20;Perido;Västra Götalands län;7;6
2026-05-20;Perido;Östergötlands län;5;0
2026-05-20;Randstad;Dalarnas län;1;0
2026-05-20;Randstad;Gävleborgs län;3;2
2026-05-20;Randstad;Hallands län;1;0
2026-05-20;Randstad;Jämtlands län;2;0
2026-05-20;Randstad;Jönköpings län;14;4
2026-05-20;Randstad;Kalmar län;1;1
2026-05-20;Randstad;Norrbottens län;4;2
2026-05-20;Randstad;Skåne län;10;6
2026-05-20;Randstad;Stockholms län;31;19
2026-05-20;Randstad;Södermanlands län;1;1
2026-05-20;Randstad;Uppsala län;12;6
2026-05-20;Randstad;Värmlands län;1;1
2026-05-20;Randstad;Västerbottens län;2;2
2026-05-20;Randstad;Västernorrlands län;2;1
2026-05-20;Randstad;Västmanlands län;3;0
2026-05-20;Randstad;Västra Götalands län;40;15
2026-05-20;Randstad;Örebro län;1;0
2026-05-20;Randstad;Östergötlands län;22;6
2026-05-20;Academic Work;Dalarnas län;9;4
2026-05-20;Academic Work;Gävleborgs län;8;3
2026-05-20;Academic Work;Hallands län;2;1
2026-05-20;Academic Work;Jämtlands län;6;1
2026-05-20;Academic Work;Jönköpings län;6;1
2026-05-20;Academic Work;Kalmar län;1;0
2026-05-20;Academic Work;Kronobergs län;3;1
2026-05-20;Academic Work;Norrbottens län;10;6
2026-05-20;Academic Work;Skåne län;46;17
2026-05-20;Academic Work;Stockholms län;129;46
2026-05-20;Academic Work;Södermanlands län;1;0
2026-05-20;Academic Work;Uppsala län;14;5
2026-05-20;Academic Work;Värmlands län;16;6
2026-05-20;Academic Work;Västerbottens län;11;5
2026-05-20;Academic Work;Västernorrlands län;8;4
2026-05-20;Academic Work;Västmanlands län;7;2
2026-05-20;Academic Work;Västra Götalands län;39;17
2026-05-20;Academic Work;Örebro län;24;8
2026-05-20;Academic Work;Östergötlands län;31;9
2026-05-20;Studentconsulting;Blekinge län;4;3
2026-05-20;Studentconsulting;Dalarnas län;5;4
2026-05-20;Studentconsulting;Gävleborgs län;1;1
2026-05-20;Studentconsulting;Hallands län;7;3
2026-05-20;Studentconsulting;Jämtlands län;1;1
2026-05-20;Studentconsulting;Jönköpings län;11;7
2026-05-20;Studentconsulting;Kronobergs län;14;6
2026-05-20;Studentconsulting;Norrbottens län;32;20
2026-05-20;Studentconsulting;Skåne län;44;19
2026-05-20;Studentconsulting;Stockholms län;23;15
2026-05-20;Studentconsulting;Södermanlands län;4;3
2026-05-20;Studentconsulting;Uppsala län;3;1
2026-05-20;Studentconsulting;Värmlands län;1;1
2026-05-20;Studentconsulting;Västerbottens län;5;3
2026-05-20;Studentconsulting;Västernorrlands län;4;2
2026-05-20;Studentconsulting;Västmanlands län;13;4
2026-05-20;Studentconsulting;Västra Götalands län;43;35
2026-05-20;Studentconsulting;Örebro län;4;2
2026-05-20;Studentconsulting;Östergötlands län;24;10
2026-05-20;Poolia;Jämtlands län;1;0
2026-05-20;Poolia;Jönköpings län;1;0
2026-05-20;Poolia;Kalmar län;1;1
2026-05-20;Poolia;Norrbottens län;3;3
2026-05-20;Poolia;Skåne län;11;8
2026-05-20;Poolia;Stockholms län;16;13
2026-05-20;Poolia;Södermanlands län;1;1
2026-05-20;Poolia;Uppsala län;3;2
2026-05-20;Poolia;Västerbottens län;2;2
2026-05-20;Poolia;Västernorrlands län;2;0
2026-05-20;Poolia;Västmanlands län;4;2
2026-05-20;Poolia;Västra Götalands län;5;5
2026-05-20;Poolia;Örebro län;2;1
2026-05-20;Poolia;Östergötlands län;15;12
2026-05-20;Uniflex;Blekinge län;2;1
2026-05-20;Uniflex;Gävleborgs län;1;1
2026-05-20;Uniflex;Hallands län;5;3
2026-05-20;Uniflex;Jämtlands län;2;0
2026-05-20;Uniflex;Jönköpings län;26;13
