Datum;Bolag;Antal annonser;Antal tjanster;Nya annonser 30d;Nya tjanster 30d;Nya annonser 14d;Nya tjanster 14d;Nya annonser 7d;Nya tjanster 7d;Aktivitetstakt % (14d);% heltid;% tills vidare;% lang;% kort;% erfarenhet kravs;Top 3 regioner (totalt);Top 3 regioner (14 dagar);Top 3 yrkesomraden;Top 5 yrkesgrupper
2026-05-20;Academic Work;371;371;136;136;69;69;36.7;85.7;13.7;0.0;86.3;100.0;Stockholms län (129) | Skåne län (46) | Västra Götalands län (39);Stockholms län (46) | Västra Götalands län (17) | Skåne län (17);Administration, ekonomi, juridik (88) | Data/IT (75) | Yrken med teknisk inriktning (70);Mjukvaru- och systemutvecklare m.fl. (37) | Ingenjörer och tekniker inom elektroteknik (20) | Företagssäljare (18) | Ingenjörer och tekniker inom maskinteknik (18) | Ekonomiassistenter m.fl. (13);;
2026-05-20;Adecco;167;351;107;234;61;115;64.1;84.4;18.0;0.0;69.5;100.0;Stockholms län (25) | Skåne län (24) | Västra Götalands län (21);Stockholms län (22) | Skåne län (14) | Kronobergs län (11);Administration, ekonomi, juridik (36) | Industriell tillverkning (35) | Transport, distribution, lager (30);Ingenjörer och tekniker inom maskinteknik (17) | Maskinställare och maskinoperatörer, metallarbete (13) | Lager- och terminalpersonal (13) | Truckförare (11) | Övriga kontorsassistenter och sekreterare (10);;
2026-05-20;Arena Personal;93;93;51;51;43;43;54.8;75.3;46.2;0.0;29.0;100.0;Södermanlands län (30) | Stockholms län (24) | Västra Götalands län (8);Södermanlands län (18) | Stockholms län (9) | Skåne län (4);Transport, distribution, lager (64) | Industriell tillverkning (7) | Installation, drift, underhåll (7);Lastbilsförare m.fl. (48) | Lager- och terminalpersonal (11) | Motorfordonsmekaniker och fordonsreparatörer (6) | Städare (4) | Truckförare (3);;
2026-05-20;Bemannia;27;28;15;16;9;9;55.6;44.4;14.8;0.0;40.7;100.0;Stockholms län (18) | Västra Götalands län (6) | Jämtlands län (1);Stockholms län (10) | Västra Götalands län (2) | Jämtlands län (1);Administration, ekonomi, juridik (11) | Sanering och renhållning (5) | Pedagogik (5);Renhållnings- och återvinningsarbetare (5) | Personal- och HR-specialister (3) | Löne- och personaladministratörer (2) | Övriga kontorsassistenter och sekreterare (2) | Telefonister (2);;
2026-05-20;Bravura;146;146;51;51;29;29;34.9;87.7;69.2;0.0;19.2;98.6;Stockholms län (64) | Västra Götalands län (20) | Skåne län (19);Stockholms län (18) | Västra Götalands län (8) | Skåne län (7);Försäljning, inköp, marknadsföring (38) | Data/IT (25) | Administration, ekonomi, juridik (19);Företagssäljare (19) | Mjukvaru- och systemutvecklare m.fl. (13) | Försäljnings- och marknadschefer (7) | Kundtjänstpersonal (6) | Marknadsanalytiker och marknadsförare m.fl. (5);;
2026-05-20;Clockwork;49;83;33;62;18;27;67.3;81.6;36.7;0.0;53.1;100.0;Dalarnas län (17) | Stockholms län (12) | Gävleborgs län (6);Dalarnas län (10) | Stockholms län (7) | Gävleborgs län (6);Administration, ekonomi, juridik (12) | Transport, distribution, lager (7) | Industriell tillverkning (7);Maskinställare och maskinoperatörer, metallarbete (5) | Lager- och terminalpersonal (3) | Underhållsmekaniker och maskinreparatörer (3) | Kundtjänstpersonal (3) | Controller (3);;
2026-05-20;Eterni Sweden;83;177;67;142;34;65;80.7;94.0;100.0;0.0;0.0;100.0;Kronobergs län (22) | Jönköpings län (15) | Västra Götalands län (11);Kronobergs län (21) | Västra Götalands län (10) | Kalmar län (9);Industriell tillverkning (31) | Transport, distribution, lager (20) | Administration, ekonomi, juridik (9);Maskinställare och maskinoperatörer, metallarbete (14) | Truckförare (12) | Montörer, metall-, gummi- och plastprodukter (5) | Lager- och terminalpersonal (5) | Svetsare och gasskärare (4);;
2026-05-20;Framtiden i Sverige;164;165;63;64;25;25;38.4;98.8;98.2;0.0;0.6;100.0;Östergötlands län (40) | Stockholms län (27) | Västra Götalands län (21);Östergötlands län (22) | Stockholms län (16) | Västra Götalands län (10);Yrken med teknisk inriktning (72) | Data/IT (36) | Bygg och anläggning (14);Ingenjörer och tekniker inom maskinteknik (27) | Ingenjörer och tekniker inom elektroteknik (14) | Mjukvaru- och systemutvecklare m.fl. (13) | Civilingenjörsyrken inom maskinteknik (11) | Företagssäljare (7);;
2026-05-20;Friday;138;148;48;49;21;22;34.8;98.6;97.1;0.0;1.4;100.0;Västra Götalands län (44) | Stockholms län (35) | Östergötlands län (22);Stockholms län (12) | Västra Götalands län (11) | Östergötlands län (9);Yrken med teknisk inriktning (61) | Data/IT (47) | Försäljning, inköp, marknadsföring (13);Mjukvaru- och systemutvecklare m.fl. (28) | Ingenjörer och tekniker inom maskinteknik (23) | Civilingenjörsyrken inom elektroteknik (11) | Ingenjörer och tekniker inom elektroteknik (10) | Civilingenjörsyrken inom maskinteknik (8);;
2026-05-20;Gazella;2;2;2;2;1;1;100.0;100.0;50.0;0.0;50.0;100.0;Stockholms län (2);Stockholms län (2);Administration, ekonomi, juridik (2);Finansanalytiker och investeringsrådgivare m.fl. (1) | Redovisningsekonomer (1);;
2026-05-20;Insitepart;26;30;12;12;8;8;46.2;65.4;19.2;0.0;46.2;100.0;Stockholms län (11) | Jönköpings län (7) | Örebro län (4);Stockholms län (5) | Jönköpings län (3) | Västra Götalands län (1);Transport, distribution, lager (21) | Försäljning, inköp, marknadsföring (2) | Yrken med teknisk inriktning (1);Lager- och terminalpersonal (19) | Speditörer och transportmäklare (2) | Truckförare (2) | Civilingenjörsyrken inom logistik och produktionsplanering (1) | Ekonomiassistenter m.fl. (1);;
2026-05-20;Jobandtalent;138;153;52;63;25;25;37.7;63.8;14.5;0.0;58.0;99.3;Östergötlands län (41) | Västra Götalands län (21) | Stockholms län (14);Västra Götalands län (10) | Östergötlands län (7) | Skåne län (6);Transport, distribution, lager (60) | Försäljning, inköp, marknadsföring (29) | Industriell tillverkning (12);Lastbilsförare m.fl. (31) | Butikssäljare, dagligvaror (26) | Lager- och terminalpersonal (23) | Truckförare (5) | VVS-montörer m.fl. (3);;
2026-05-20;Jurek;27;27;8;8;3;3;29.6;63.0;29.6;0.0;37.0;100.0;Stockholms län (15) | Västra Götalands län (8) | Uppsala län (2);Stockholms län (5) | Jönköpings län (1) | Västra Götalands län (1);Administration, ekonomi, juridik (21) | Chefer och verksamhetsledare (2) | Data/IT (1);Controller (4) | Lednings- och organisationsutvecklare (4) | Planerare och utredare m.fl. (2) | Affärs- och företagsjurister (2) | Kontorsreceptionister (1);;
2026-05-20;Konsultia;50;112;22;53;9;10;44.0;98.0;28.0;0.0;70.0;98.0;Norrbottens län (12) | Västra Götalands län (12) | Västerbottens län (5);Norrbottens län (5) | Västra Götalands län (5) | Gävleborgs län (3);Industriell tillverkning (22) | Administration, ekonomi, juridik (9) | Transport, distribution, lager (6);Personal- och HR-specialister (8) | Maskinställare och maskinoperatörer, metallarbete (7) | Övriga maskin- och processoperatörer vid stål- och metallverk (4) | Truckförare (3) | Svetsare och gasskärare (3);;
2026-05-20;Lernia;182;237;84;102;43;44;46.2;81.3;18.1;0.0;66.5;99.5;Västra Götalands län (44) | Hallands län (38) | Skåne län (16);Västra Götalands län (21) | Hallands län (12) | Skåne län (10);Industriell tillverkning (78) | Transport, distribution, lager (45) | Installation, drift, underhåll (19);Lager- och terminalpersonal (24) | Maskinställare och maskinoperatörer, metallarbete (21) | Montörer, metall-, gummi- och plastprodukter (17) | Truckförare (16) | Svetsare och gasskärare (8);;
2026-05-20;Logent;36;49;15;17;8;10;41.7;72.2;22.2;0.0;50.0;100.0;Skåne län (16) | Västra Götalands län (9) | Stockholms län (6);Skåne län (7) | Stockholms län (5) | Västra Götalands län (2);Transport, distribution, lager (19) | Industriell tillverkning (5) | Installation, drift, underhåll (3);Lager- och terminalpersonal (11) | Övriga bil-, motorcykel- och cykelförare (4) | Truckförare (3) | Civilingenjörsyrken inom logistik och produktionsplanering (2) | Maskinoperatörer, kött- och fiskberedningsindustri (2);;
2026-05-20;Manpower;51;173;24;85;13;50;47.1;64.7;7.8;0.0;56.9;100.0;Västra Götalands län (19) | Stockholms län (7) | Västernorrlands län (4);Västra Götalands län (6) | Stockholms län (4) | Dalarnas län (3);Industriell tillverkning (18) | Administration, ekonomi, juridik (15) | Transport, distribution, lager (12);Lager- och terminalpersonal (8) | Maskinställare och maskinoperatörer, metallarbete (5) | Kontorsreceptionister (4) | Montörer, elektrisk och elektronisk utrustning (4) | Truckförare (3);;
