Rapport;Period;Tjansteomrade;Omsattning_msek;Forandring_yoy_pct;Andel_av_total_pct
Q4_2025;2025-Q1;Uthyrning;6555;-10.3;94.7
Q4_2025;2025-Q2;Uthyrning;7198;-4.1;95.3
Q4_2025;2025-Q3;Uthyrning;6749;1.3;95.6
Q4_2025;2025-Q4;Uthyrning;7316;8.6;95.2
Q4_2025;2025-Q1;Rekrytering;187;-12.1;2.7
Q4_2025;2025-Q2;Rekrytering;200;-7.7;2.6
Q4_2025;2025-Q3;Rekrytering;134;-9.8;1.9
Q4_2025;2025-Q4;Rekrytering;174;-5.4;2.3
Q4_2025;2025-Q1;Omstallning;178;-8.6;2.6
Q4_2025;2025-Q2;Omstallning;162;-16.8;2.1
Q4_2025;2025-Q3;Omstallning;178;5.3;2.5
Q4_2025;2025-Q4;Omstallning;194;14.1;2.5
