OKÄNDA ARBETSGIVARE – 2026-05-25
============================================================
Antal okända: 51
Kontrollera en gång i veckan och lägg till i ARBETSGIVARE_TYP

  Ideal BM AB                                        totalt=45  [Sjuksköterska (45)]
  REGION NORRBOTTEN                                  totalt=41  [Sjuksköterska (41)]
  REGION SÖRMLAND                                    totalt=39  [Sjuksköterska (39)]
  Sanandum AB                                        totalt=34  [Sjuksköterska (34)]
  MACC PEOPLE AB                                     totalt=31  [Sjuksköterska (31)]
  Vårdbemanning Sverige AB                           totalt=28  [Sjuksköterska (28)]
  Systrarnas bemanning AB                            totalt=26  [Sjuksköterska (26)]
  REGION ÖREBRO LÄN                                  totalt=23  [Sjuksköterska (23)]
  Insitepart AB                                      totalt=19  [Lagerarbetare (19)]
  Ants Akademiskt Nätverk av Tekniska Studenter AB   totalt=15  [Systemutvecklare (15)]
  Sopra Steria Sweden AB                             totalt=15  [Systemutvecklare (15)]
  Posti Logistics Staffing AB                        totalt=14  [Lagerarbetare (14)]
  Lynqa AB                                           totalt=14  [Systemutvecklare (14)]
  Libera i Sverige AB                                totalt=13  [Lagerarbetare (13)]
  Astani Wear AB                                     totalt=13  [Lagerarbetare (13)]
  Lovable Labs Sweden AB                             totalt=13  [Systemutvecklare (13)]
  Arena Personal Sverige AB                          totalt=12  [Lagerarbetare (12)]
  Nexify bemanning & rekrytering AB                  totalt=12  [Lagerarbetare (12)]
  Tng Group AB                                       totalt=12  [Systemutvecklare (12)]
  Logent Bemanning AB                                totalt=11  [Lagerarbetare (11)]
  Jovi Konsult AB                                    totalt=11  [Lagerarbetare (11)]
  Unik Resurs i Sverige AB                           totalt=11  [Mekanikkonstruktör (11)]
  WeStaff Sweden AB                                  totalt=10  [Mekanikkonstruktör (10)]
  NDP IT AB                                          totalt=9  [Mekanikkonstruktör (9)]
  Falkenbergs kommun                                 totalt=9  [Undersköterska (9)]
  ÖRNSKÖLDSVIKS KOMMUN                               totalt=9  [Undersköterska (9)]
  Vetlanda kommun                                    totalt=9  [Undersköterska (9)]
  Noga Omsorg Haninge AB                             totalt=9  [Undersköterska (9)]
  Tiohundra AB                                       totalt=9  [Undersköterska (9)]
  Krokoms kommun                                     totalt=9  [Undersköterska (9)]
  Releasy Customer Management AB                     totalt=8  [Kundtjänstmedarbetare (8)]
  Försvarets Materielverk                            totalt=8  [Elingenjör (8)]
  Silex Microsystems AB                              totalt=8  [Elingenjör (8)]
  Stift Bräcke Diakoni                               totalt=8  [Undersköterska (8)]
  Umeå kommun                                        totalt=8  [Undersköterska (8)]
  Lycksele kommun                                    totalt=8  [Undersköterska (8)]
  Foundever Sweden AB                                totalt=6  [Kundtjänstmedarbetare (6)]
  Cubane Solutions AB                                totalt=6  [Elingenjör (6)]
  Barona Professionals AB                            totalt=5  [Kundtjänstmedarbetare (5)]
  Transcom AB                                        totalt=5  [Kundtjänstmedarbetare (5)]
  Fibio Nordic AB                                    totalt=4  [Kundtjänstmedarbetare (4)]
  Hire Solutions AB                                  totalt=4  [Kundtjänstmedarbetare (4)]
  Jollyroom AB                                       totalt=4  [Kundtjänstmedarbetare (4)]
  Hrm Affärsutveckling i Stockholm AB                totalt=2  [Business Controller (2)]
  Jobbusters AB                                      totalt=2  [Business Controller (2)]
  E-Hälsomyndigheten                                 totalt=2  [Business Controller (2)]
  STIFTELSEN FRYSHUSET                               totalt=2  [Business Controller (2)]
  Kungliga Tekniska Högskolan                        totalt=2  [Business Controller (2)]
  REGION VÄSTERBOTTEN                                totalt=2  [Business Controller (2)]
  Internationella Engelska Skolan i Sverige AB       totalt=1  [Ekonomiassistent (1)]
  Equalis AB                                         totalt=1  [Ekonomiassistent (1)]
